LATITUDE,LONGITUDE,OFFENSE,Count
38.92258963,-76.98847969,THEFT/OTHER,1
38.84295683,-76.99522864,ROBBERY,2
38.90682812,-77.06020599,THEFT F/AUTO,5
38.9144812,-76.98125135,MOTOR VEHICLE THEFT,1
38.93507113,-77.07269795,THEFT/OTHER,5
38.91664034,-77.03195208,ROBBERY,6
38.9404431,-77.01912459,BURGLARY,1
38.91591297,-77.02191998,ROBBERY,3
38.90475084,-76.97417513,ASSAULT W/DANGEROUS WEAPON,4
38.91445279,-77.02598981,THEFT F/AUTO,6
38.90606159,-77.04136667,THEFT F/AUTO,3
38.89860729,-76.97483445,THEFT/OTHER,19
38.88867368,-76.99557388,THEFT F/AUTO,1
38.94604357,-77.09704935,SEX ABUSE,1
38.86757528,-76.98608027,MOTOR VEHICLE THEFT,1
38.85945048,-76.99682003,THEFT/OTHER,2
38.90125251,-76.94089391,THEFT/OTHER,17
38.90705893,-76.9854961,ASSAULT W/DANGEROUS WEAPON,3
38.92014854,-76.99031358,THEFT/OTHER,98
38.83623551,-76.99222542,THEFT F/AUTO,1
38.92911026,-77.02140506,THEFT F/AUTO,2
38.88925905,-76.95345616,ROBBERY,1
38.83212791,-77.00057586,ROBBERY,2
38.93883537,-77.07465111,THEFT/OTHER,1
38.90606159,-77.04136667,THEFT/OTHER,19
38.89486022,-76.94859949,ROBBERY,1
38.91755165,-77.02600247,THEFT F/AUTO,21
38.92093264,-76.99716323,ROBBERY,3
38.9064358,-77.0239808,THEFT F/AUTO,14
38.9081334,-77.04167917,ROBBERY,1
38.93048018,-76.98252732,ROBBERY,1
38.91699278,-77.02757048,THEFT/OTHER,11
38.90127518,-76.98261517,ASSAULT W/DANGEROUS WEAPON,2
38.90025934,-76.9365947,THEFT F/AUTO,1
38.9164804,-77.02242752,ROBBERY,2
38.91038186,-77.02191828,THEFT F/AUTO,3
38.91556866,-77.03079853,THEFT F/AUTO,15
38.91664034,-77.03195208,THEFT/OTHER,8
